Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ватаманюк,Нестор,Володимирович,чоловік,1990-05-23,Доцент,село Кальміуське,"площа Шкодова гора, буд. 31 кв. 041, Умань, 33045",518-93-00,klavdiiaiatseniuk@example.net
Гайворонський,Августин,Олегович,чоловік,1942-01-19,Перекладач,село Самар,"сквер Князівський, буд. 87, Шумськ, 63206",336 67 76,lsymonenko@example.net
Тягнибок,Ганна,Андріївна,жінка,1961-03-11,Мінералог,село Ржищів,"узвіз Наявний 4-й, буд. 179, Нетішин, 85054",+380 54 775-06-36,ivanchenko@example.org
Карась,Валентина,Петрівна,жінка,1956-01-18,Пілот,селище Дебальцеве,"площа Сільська, буд. 11 кв. 467, Лозова, 12660",+380 89 566-76-98,khrystychsemen@example.org
Юрченко,Михайло,Олексійович,чоловік,1966-02-08,Стропальник,село Гайворон,"площа Прорізна, буд. 55, Новий Калинів, 78857",047 320 96 69,vzhurba@example.com
Гайдай,Сніжана,Олексіївна,жінка,1953-07-02,Ґрунтознавець,селище Рогатин,"узвіз Будівельний, буд. 54 кв. 3, Чорноморськ, 59504",019 183-78-84,vivashchenko@example.net
Цюцюра,Спас,Сергійович,чоловік,1955-01-07,Лікар,місто Благовіщенське,"площа Астрономічний, буд. 782, Погребище, 94511",+380 27 082 22 99,eduardvitruk@example.com
Бабенко,Макар,Володимирович,чоловік,1974-02-12,Круп'є,село Нововолинськ,"узвіз Маланова, буд. 8 кв. 287, Сіверськ, 77585",+380 02 259-54-17,ivandashkevych@example.net
Артимишин,Мілена,Петрівна,жінка,1945-11-20,Мінералог,місто Глухів,"сквер Тираспольська, буд. 2 кв. 790, Бердянськ, 39381",056 780 49 56,andrii85@example.org
Баштан,Святослава,Олегівна,жінка,1977-11-23,Педагог,селище Світлодарськ,"сквер Шкільний аеродром, буд. 551 кв. 16, Торецьк, 42211",+380 32 950-80-59,vladyslavokhrimenko@example.com
Карпенко,Едита,Петрівна,жінка,1961-12-06,Біолог,селище Кам'янка-Бузька,"парк Умова, буд. 94, Полонне, 23027",513 21 12,oksana01@example.net
Корпанюк,Арсен,Андрійович,чоловік,1972-11-09,Біолог,хутір Корюківка,"провулок Короткий, буд. 1 кв. 89, Лебедин, 64189",+380 09 883-75-52,markohres@example.net
Товстоліс,Симон,Олегович,чоловік,1958-02-12,Кухар,селище Алмазна,"провулок Розумовський 2-й, буд. 650 кв. 4, Енергодар, 02562",+380 65 687 58 30,oleksa45@example.net
Семенченко,Вадим,Андрійович,чоловік,2005-12-01,Електромонтажник,хутір Рогатин,"площа Світанку, буд. 856 кв. 924, Кремінна, 32884",422 13 27,milenaokhrimenko@example.org
Остапчук,Костянтин,Олексійович,чоловік,1979-11-12,Маркетолог,хутір Шахтарськ,"парк Парусна, буд. 91, Петрово-Красносілля, 98081",551-97-65,vyshyvanazlatoslava@example.com
Дахно,Олег,Олегович,чоловік,1987-03-17,Педагог,хутір Южне,"парк Гоголя, буд. 59, Ладижин, 94493",166 79 79,myron12@example.net
Михайличенко,Леопольд,Володимирович,чоловік,1996-09-24,Єгер,місто Тячів,"сквер Виноградна 2-га, буд. 8 кв. 619, Перечин, 94614",981-64-65,eakymenko@example.com
Франко,Альбіна,Андріївна,жінка,2003-10-18,Слідчий,селище Торецьк,"набережна Джутовий, буд. 75 кв. 8, Шепетівка, 11756",+380 81 132-29-25,kylymnykazar@example.org
Артимишин,Костянтин,Олексійович,чоловік,1958-05-31,Ботанік,хутір Курахове,"вулиця Дюківський сад, буд. 11, Березань, 83275",039 460-58-39,fmoskal@example.org
Скорик,Трохим,Іванович,чоловік,1951-12-28,Агроном,село Охтирка,"узвіз Лузанівський, буд. 245 кв. 90, Білицьке, 93334",+380 (79) 819-37-92,jhavrylyshyn@example.com
Шамрай,Феофан,Іванович,чоловік,1942-10-16,Композитор,селище Хуст,"шосе Кафедральна, буд. 6 кв. 0, Кам'янське, 37984",925-17-73,szinkevych@example.com
Годунок,Анжела,Олегівна,жінка,1957-10-22,Журналіст,місто Привілля,"шосе Давида Бурлюка, буд. 9, Луганськ, 36597",+380 (51) 657-15-61,shynkarenkovira@example.org
Бандурка,Микита,Олегович,чоловік,1957-05-24,Ветеринар,село Чорнобиль,"шосе Соляний 7-й, буд. 8 кв. 880, Бориспіль, 68114",038 218-85-48,odarkabhydenko@example.com
Чорновіл,Віолетта,Олегівна,жінка,1999-02-10,Архітектор,селище Узин,"сквер Стамбульський, буд. 2, Тульчин, 08971",+380 (10) 327-98-77,wderevianko@example.org
Оніщук,Амвросій,Андрійович,чоловік,1974-09-20,Математик,село Костянтинівка,"площа Бокаріуса, буд. 3, Любомль, 68107",+380 27 567-12-32,qoliinyk@example.org
Рудько,Теодор,Іванович,чоловік,1974-03-19,Кінокритик,місто Тиврів,"узвіз Лазурний 6-й, буд. 811 кв. 22, Куп'янськ, 07719",375 05 75,dansaienko@example.org
Фесенко,Ірена,Андріївна,жінка,1983-09-08,Конструктор,село Вугледар,"парк Хімічний 3-й, буд. 79 кв. 04, Березань, 07407",+380 52 887-47-73,vladyslavkarpa@example.com
Палій,Альбіна,Олексіївна,жінка,1981-12-08,Фрілансер,місто Керч,"вулиця Кобзаря, буд. 6 кв. 2, Дебальцеве, 15926",+380 81 945-42-66,ostap32@example.net
Атаманюк,Опанас,Олексійович,чоловік,1960-07-06,Флорист,хутір Підгайці,"узвіз Рєпіна, буд. 4 кв. 848, Бровари, 05152",320 18 19,artem38@example.com
Баштан,Геннадій,Володимирович,чоловік,1984-08-07,Стиліст,селище Малин,"шосе Чорноморський 2-й, буд. 039 кв. 0, Щастя, 70419",+380 84 696 09 54,ieremenkonataliia@example.net
Жадан,Павло,Сергійович,чоловік,2000-12-07,Стиліст,село Іршава,"набережна Старорізнична, буд. 735, Умань, 70202",+380 40 551 04 02,leopold68@example.com
Хмара,Симон,Олексійович,чоловік,1954-06-14,Професор,хутір Корюківка,"шосе Проектуєма, буд. 7, Заводське, 94275",099 75 40,dmytroaronets@example.net
Бабак,Остап,Андрійович,чоловік,1946-06-20,Льотчик,місто Шостка,"проспект Осіння, буд. 01 кв. 51, Алушта, 34399",+380 (56) 777-85-67,nadiiavelychko@example.com
Корбут,Любов,Сергіївна,жінка,1979-09-13,Водій,село Підгайці,"вулиця Щіпний, буд. 602, Кропивницький, 34168",+380 86 128 72 84,wovsiienko@example.org
Аверченко,Амалія,Олексіївна,жінка,1994-04-11,Гірничий інженер,хутір Полонне,"парк Коцюбинського, буд. 788 кв. 92, Тараща, 02270",+380 18 164-35-76,svitlana24@example.net
Гаврилів,Стефан,Олексійович,чоловік,1939-11-30,Детектив,село Калуш,"набережна Іванівська, буд. 250 кв. 318, Златопіль, 72970",+380 96 922 05 22,olena25@example.com
Салій,Яків,Іванович,чоловік,1941-12-21,Будник,місто Васильків,"вулиця Корнюшина, буд. 016 кв. 078, Бахмач, 15824",438 20 76,dmytrozaiets@example.org
Шамрай,Руслан,Петрович,чоловік,1965-10-23,Ді-джей,село Новий Буг,"набережна Отрадна, буд. 71, Шпола, 11412",712-58-08,rostyslav74@example.org
Колесниченко,Юстина,Володимирівна,жінка,2005-12-08,Кушнір,хутір Дунаївці,"шосе Залізнична, буд. 139, Львів, 58014",791-33-58,maryna61@example.com
Бараник,Ярослав,Петрович,чоловік,1973-08-22,Хореограф,хутір Кривий Ріг,"узвіз Хімічний 2-й, буд. 3 кв. 342, Отаманівка, 70029",+380 (66) 435-14-50,haidaimyron@example.net
